Kurum;İlk Gün (Ad.);Son Gün (Ad.);Değişim (%);Fark Lot (Ad.);Fark Oran (%);Takas Oran (%)
Deutsche;20572658;27411952;33;6839294;2.47;9.9
CitiBank;57058654;61521409;8;4462755;1.61;22.22
Bank of America;6031805;6995723;16;963918;0.35;2.53
TEB;2277949;2894170;27;616221;0.22;1.05
TOPLAM FARK;435857;833009;91;397152;0.14;0.3
Tacirler;738179;926713;26;188534;0.07;0.33
Info;2158500;2293996;6;135496;0.05;0.83
Marbas;434688;488689;12;54001;0.02;0.18
Burgan;177716;218070;23;40354;0.01;0.08
InvestAZ;26654;54766;105;28112;0.01;0.02
DENIZBANK A.S.;76914;97746;27;20832;0.01;0.04
A1 Captial;570540;579045;1;8505;0.0;0.21
Kuveyt Türk;1031609;1039202;1;7593;0.0;0.38
Alnus Yat.;203964;206577;1;2613;0.0;0.07
Piramit;11915;12983;9;1068;0.0;0.0
ALTERNATIF MENKUL;34432;35233;2;801;0.0;0.01
Ahlatcı;94497;94991;1;494;0.0;0.03
Colendi;1879;2357;25;478;0.0;0.0
Meksa;89247;89607;0;360;0.0;0.03
GCM;44597;44827;1;230;0.0;0.02
BLUPAY MENKUL;294;514;75;220;0.0;0.0
Dinamik Yat.;4278;4400;3;122;0.0;0.0
NCM;38438;38478;0;40;0.0;0.01
BASKENT MENKUL;0;0;0;0;0.0;0.0
STRATEJI MEN.;63709;63709;0;0;0.0;0.02
YATIRIM ORTAKLIKLARI;11400;11400;0;0;0.0;0.0
YAPI VE KREDI BANKASI A.S.;37755;37755;0;0;0.0;0.01
IS BANKASI A.S.;2248;1986;-12;-262;-0.0;0.0
PAPARA MENKUL;622;0;-100;-622;-0.0;0.0
ICBC;186103;185349;0;-754;-0.0;0.07
Bulls;82540;81129;-2;-1411;-0.0;0.03
ALB Yat.;73023;71429;-2;-1594;-0.0;0.03
Ata Yat.;419399;416866;-1;-2533;-0.0;0.15
IKON MENKUL DEGERLER;2553;0;-100;-2553;-0.0;0.0
ELIPTIK YATIRIM;44101;41007;-7;-3094;-0.0;0.01
Anadolu;128037;124928;-2;-3109;-0.0;0.05
ING;561086;557393;-1;-3693;-0.0;0.2
ACAR MENKUL DEGERLER;34363;30312;-12;-4051;-0.0;0.01
QNB;3574718;3570478;0;-4240;-0.0;1.29
Şeker;306955;301184;-2;-5771;-0.0;0.11
BIZIM MENKUL;191035;184968;-3;-6067;-0.0;0.07
Allbatross;65308;56073;-14;-9235;-0.0;0.02
Tera;108101;98437;-9;-9664;-0.0;0.04
HCBC;320782;304071;-5;-16711;-0.01;0.11
Ünlü;246624;227303;-8;-19321;-0.01;0.08
Integral;170184;143116;-16;-27068;-0.01;0.05
Trive;338769;309063;-9;-29706;-0.01;0.11
Osmanlı;2619587;2582521;-1;-37066;-0.01;0.93
Midas;1499136;1460571;-3;-38565;-0.01;0.53
Yat. Finans;394704;348573;-12;-46131;-0.02;0.13
Oyak;3839581;3792026;-1;-47555;-0.02;1.37
Halk Yat.;6776830;6720136;-1;-56694;-0.02;2.43
Global;877311;819078;-7;-58233;-0.02;0.3
AK Yat.;10235990;10175624;-1;-60366;-0.02;3.67
Gedik;1896311;1819695;-4;-76616;-0.03;0.66
TURKISH YAT.;426480;341562;-20;-84918;-0.03;0.12
Deniz;7449629;7344744;-1;-104885;-0.04;2.65
Phillip;1050076;808961;-23;-241115;-0.09;0.29
Yapı Kredi;15138309;14571949;-4;-566360;-0.2;5.26
Vakıf;14770710;14006235;-5;-764475;-0.28;5.06
İş Yat.;23051570;22220834;-4;-830736;-0.3;8.02
Garanti;19669937;18558183;-6;-1111754;-0.4;6.7
Ziraat;18231000;16311579;-11;-1919421;-0.69;5.89
Yatırım Fonları;16702602;13722438;-18;-2980164;-1.08;4.96
Emeklilik Fonları;24124185;19188723;-20;-4935462;-1.78;6.93
