hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,113272999,-7832604.0,-7.000000000000001,-5.08
asels,1873001896,96398609.0,5.0,4.21
reedr,271643299,27087831.0,10.0,1.28
miatk,277894003,11199267.0,4.0,1.46
sdttr,42926056,-4941495.0,-12.0,-22.2
ingrm,11875910,-1624868.0,-14.000000000000002,-54.7
atatp,27972816,2419360.0,9.0,9.11
alctl,68645106,3570538.0,5.0,7.38
karel,31748713,-2236743.0,-7.000000000000001,-0.62
aztek,36035943,-5878920.0,-16.0,-7.21
httbt,47183338,1829271.0,4.0,1.5
logo,62867333,-9347698.0,-15.0,-16.82
ardyz,47061484,-4611880.0,-10.0,-3.45
indes,24182035,741925.0,3.0,0.24
mobtl,28995662,-1154479.0,-4.0,-0.16
penta,19719186,833740.0,4.0,0.63
netas,45427079,-4752543.0,-10.0,-6.33
arena,47284743,1934014.0,4.0,1.4
escom,34660480,-4528634.0,-13.0,-6.31
papil,260149711,12211131.0,5.0,0.61
forte,36612894,-2070650.0,-6.0,-3.23
link,20138958,-1150830.0,-6.0,-27.01
vbtyz,18241402,-2993325.0,-16.0,-3.85
fonet,33868702,138257.0,0.0,0.06
mtrks,17580602,-53931.0,-0.0,-0.06
edata,20849995,620529.0,3.0,0.13
kfein,38031001,290046.0,1.0,0.81
pkart,21340110,-57369.0,-0.0,-0.19
obase,51765134,-507017.0,-1.0,-0.32
kront,14936260,1906553.0,13.0,2.67
smart,45850854,-537806.0,-1.0,-0.4
dgate,43987308,719896.0,2.0,0.95
despc,19685774,3543334.0,18.0,8.85
manas,29396308,2451060.0,8.0,0.77
odine,197029080,8115510.0,4.0,5.78
patek,148783684,-7705545.0,-5.0,-4.57
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,39907906,-7464485.0,-19.0,-10.57
ekgyo,2090648698,-230472598.0,-11.0,-1.53
zrgyo,33410842,3149986.0,9.0,1.5
srvgy,140632488,4060877.0,3.0,6.59
rygyo,45883454,3775011.0,8.0,1.31
isgyo,75974325,-22918345.0,-30.0,-5.72
basgz,11835288,-777064.0,-7.000000000000001,-1.93
aksgy,25021587,-1929300.0,-8.0,-0.54
ozkgy,47736959,-1820045.0,-4.0,-0.44
dggyo,8307022,-392126.0,-5.0,-1.91
psgyo,115584445,18161750.0,16.0,0.22
yggyo,23039748,-3472441.0,-15.0,-10.44
akmgy,5126709,1195184.0,23.0,48.67
asgyo,20806314,-2382267.0,-11.0,-1.31
hlgyo,142005441,4162105.0,3.0,0.08
adgyo,21521629,1956387.0,9.0,2.74
akfgy,47061045,12119407.0,26.0,0.5
tsgyo,29774334,-1589256.0,-5.0,-0.35
surgy,61570503,-12995537.0,-21.0,-8.64
klgyo,43461994,3094524.0,7.000000000000001,0.34
algyo,58293142,-1147045.0,-2.0,-0.37
kzbgy,24623229,2217120.0,9.0,0.48
sngyo,42311641,-4977569.0,-12.0,-0.34
vkgyo,93256697,14329370.0,15.0,0.31
pekgy,617797909,86603243.0,14.000000000000002,0.23
fzlgy,77794393,11072302.0,14.000000000000002,4.56
begyo,380405033,9135347.0,2.0,0.22
segyo,25951921,-2912243.0,-11.0,-0.51
pehol,563918364,-50807050.0,-9.0,-0.85
nugyo,15767360,-614747.0,-4.0,-0.28
agyo,7891006,-2558825.0,-32.0,-2.25
dzgyo,55037878,314613.0,1.0,0.04
msgyo,23937326,2153129.0,9.0,1.45
mrgyo,202223870,1535800.0,1.0,0.01
krgyo,63808538,158793.0,0.0,0.03
ozgyo,50659741,9268805.0,18.0,1.0
kgyo,102063914,-6893371.0,-7.000000000000001,-2.85
ygyo,93886343,2561763.0,3.0,0.2
avgyo,3577657,-158160.0,-4.0,-0.35
tdgyo,66887084,10292472.0,15.0,3.02
atagy,4891080,-32260.0,-1.0,-0.07
idgyo,5462710,784500.0,14.000000000000002,0.39
mhrgy,11248695,-892861.0,-8.0,-0.38
avpgy,259169240,-9132765.0,-4.0,-2.18
vrgyo,55025666,-526339.0,-1.0,-0.03
kzgyo,10083058,-260909.0,-3.0,-0.52
eygyo,9589256,-552983.0,-6.0,-0.42
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
bryat,84031937,133424.0,0.0,2.92
garan,1754528161,363236117.0,21.0,26.66
isctr,4939015860,206751338.0,4.0,0.58
halkb,735292803,-80144379.0,-11.0,-2.08
vakbn,555882792,-3838901.0,-1.0,-0.18
akbnk,5448950000,285618888.0,5.0,3.32
skbnk,155493453,11942086.0,8.0,0.3
albrk,101848144,-19015025.0,-19.0,-1.24
ykbnk,5306940612,-1053013665.0,-20.0,-5.71
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,682638814,-20803750.0,-3.0,-2.57
arclk,559278437,126677938.0,23.0,29.29
asels,1873001896,96398609.0,5.0,4.21
astor,1525118116,-236202439.0,-15.0,-18.35
bimas,3144871232,316247778.0,10.0,55.68
ekgyo,2090648698,-230472598.0,-11.0,-1.53
enkai,960360414,222180940.0,23.0,11.52
eregl,5002073442,1020798331.0,20.0,4.68
froto,1146939654,-126628886.0,-11.0,-101.17
gubrf,826330872,57285224.0,7.000000000000001,19.08
hekts,457523945,-35752703.0,-8.0,-0.28
kchol,2708493982,-83600817.0,-3.0,-4.99
kozal,2119680488,272227440.0,13.0,3.11
kozaa,568523518,33465134.0,6.0,4.33
krdmd,1281538417,-53143513.0,-4.0,-1.16
odas,368278772,73699242.0,20.0,1.11
petkm,663188936,3779926.0,1.0,0.1
pgsus,1833838697,216321894.0,12.0,27.63
sahol,1317386424,-923376.0,-0.0,-0.07
sasa,2276536086,10184988.0,0.0,0.02
sise,988486958,-3290637.0,-0.0,-0.12
tavhl,434489733,-8169646.0,-2.0,-5.1
tcell,2348071947,220366239.0,9.0,10.15
thyao,8577601144,-176986318.0,-2.0,-6.55
toaso,1515786805,-215433234.0,-14.000000000000002,-28.87
tuprs,2190732505,84150821.0,4.0,5.3
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,87014670,-1424180.0,-2.0,-0.31
a1cap,29442097,-986104.0,-3.0,-0.79
adgyo,21521629,1956387.0,9.0,2.74
agrot,173388995,1115225.0,1.0,0.06
ahgaz,107887150,-7440360.0,-7.000000000000001,-1.19
akfye,71309818,-7634330.0,-11.0,-1.87
alfas,338200716,106299051.0,31.0,22.67
asgyo,20806314,-2382267.0,-11.0,-1.31
atakp,21541267,1064620.0,5.0,1.97
astor,1525118116,-236202439.0,-15.0,-18.35
aztek,36035943,-5878920.0,-16.0,-7.21
barma,10597284,-217149.0,-2.0,-0.34
begyo,380405033,9135347.0,2.0,0.22
bieny,29375266,800848.0,3.0,0.84
bigch,198430845,8328203.0,4.0,1.36
binho,76210585,-13562084.0,-18.0,-48.25
bmstl,114821443,-18411123.0,-16.0,-5.13
borls,83846839,-4236329.0,-5.0,-4.15
brkvy,79563454,-6208716.0,-8.0,-4.46
bvsan,165306361,3843562.0,2.0,2.69
bydnr,7406282,-107047.0,-1.0,-0.33
cates,31910691,3319123.0,10.0,3.52
conse,16535971,-49071.0,-0.0,-0.01
cvkmd,158124216,5216810.0,3.0,0.31
cwene,60299670,3584343.0,6.0,1.12
dapgm,51373775,1227731.0,2.0,0.17
dmrgd,34395896,-1913336.0,-6.0,-0.72
dofer,22598455,812773.0,4.0,0.98
ebebk,58374386,-8394259.0,-14.000000000000002,-8.46
ekos,18768459,-1080057.0,-6.0,-1.31
eksun,65304619,8953622.0,14.000000000000002,0.93
enery,51115754,-3469832.0,-7.000000000000001,-14.27
ensri,22685204,-340313.0,-2.0,-0.27
eupwr,163632560,5656328.0,3.0,1.25
euren,83964465,-6234717.0,-7.000000000000001,-0.31
eygyo,9589256,-552983.0,-6.0,-0.42
forte,36612894,-2070650.0,-6.0,-3.23
fzlgy,77794393,11072302.0,14.000000000000002,4.56
gipta,95541740,3706054.0,4.0,1.85
goknr,66879953,-13139240.0,-20.0,-4.39
grsel,197058906,381361.0,0.0,0.45
gznmi,35138357,3356523.0,10.0,6.82
hatsn,21459241,-1412447.0,-7.000000000000001,-2.79
hktm,39032131,2912791.0,7.000000000000001,1.27
httbt,47183338,1829271.0,4.0,1.5
imasm,29052196,-833114.0,-3.0,-0.08
inves,57594731,-6655984.0,-12.0,-20.01
izenr,177543583,-2920075.0,-2.0,-0.09
kayse,141622674,10512909.0,7.000000000000001,1.45
kcaer,64862071,-940364.0,-1.0,-0.16
klrho,21375701,-3170853.0,-15.0,-4.16
klser,34810019,2515100.0,7.000000000000001,2.39
klsyn,20857421,779500.0,4.0,0.19
kmpur,24031143,1073029.0,4.0,0.8
kopol,43453486,3174532.0,7.000000000000001,0.42
krpls,10868437,1107478.0,10.0,0.71
ktlev,340885189,-68353596.0,-20.0,-13.02
kzgyo,10083058,-260909.0,-3.0,-0.52
lider,39875255,3257044.0,8.0,12.02
macko,20479143,-2287821.0,-11.0,-12.3
makim,24428023,3773539.0,15.0,3.17
marbl,15945207,-502266.0,-3.0,-0.37
mekag,18762284,973459.0,5.0,2.27
mhrgy,11248695,-892861.0,-8.0,-0.38
obase,51765134,-507017.0,-1.0,-0.32
ofsym,17353879,285346.0,2.0,0.63
oncsm,164997099,16889630.0,10.0,10.75
ozsub,30155853,1960008.0,6.0,2.38
paseu,218870419,-91157168.0,-42.0,-13.54
pcilt,16256801,-3265830.0,-20.0,-3.54
pltur,90728300,1383825.0,2.0,0.43
pnlsn,26151455,-1798067.0,-7.000000000000001,-3.01
prdgs,53879691,-4872136.0,-9.0,-0.46
psgyo,115584445,18161750.0,16.0,0.22
reedr,271643299,27087831.0,10.0,1.28
rnpol,7653575,-2567630.0,-34.0,-8.46
rubns,32370702,4993087.0,15.0,3.88
sdttr,42926056,-4941495.0,-12.0,-22.2
segyo,25951921,-2912243.0,-11.0,-0.51
skymd,429139211,59661588.0,14.000000000000002,3.39
smrtg,178590941,47681679.0,27.0,11.06
snica,64179315,-18431139.0,-28.999999999999996,-1.41
soke,16382776,2442142.0,15.0,1.72
suntk,60393432,7671352.0,13.0,4.79
suwen,54210058,-55809.0,-0.0,-0.02
tabgd,211983043,-1536568.0,-1.0,-1.19
tarkm,33500411,-3559440.0,-11.0,-40.19
taten,1012397107,-353258317.0,-35.0,-17.6
tera,29125568,2648529.0,9.0,3.52
tnztp,21784427,-3028567.0,-14.000000000000002,-7.09
vrgyo,55025666,-526339.0,-1.0,-0.03
yylgd,69732463,-8863043.0,-13.0,-1.16
patek,148783684,-7705545.0,-5.0,-4.57
OBAMS,347222843,31625020.0,9.0,5.87
LMKDC,908707626,148158764.0,16.0,4.93
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tatgd,32154624,-8358699.0,-26.0,-3.15
odas,368278772,73699242.0,20.0,1.11
cwene,60299670,3584343.0,6.0,1.12
uluun,16601117,265863.0,2.0,0.1
AYDEM,33597042,3080496.0,9.0,1.97
conse,16535971,-49071.0,-0.0,-0.01
ASELS,1873001896,96398609.0,5.0,4.21
TUPRS,2190732505,84150821.0,4.0,5.3
KCHOL,2708493982,-83600817.0,-3.0,-4.99
ARCLK,559278437,126677938.0,23.0,29.29
EREGL,5002073442,1020798331.0,20.0,4.68
KRDMD,1281538417,-53143513.0,-4.0,-1.16
SAHOL,1317386424,-923376.0,-0.0,-0.07
SASA,2276536086,10184988.0,0.0,0.02
ENJSA,185858298,5143125.0,3.0,1.67
AKSA,185389262,18756193.0,10.0,1.2
HEKTS,457523945,-35752703.0,-8.0,-0.28
TKFEN,468389851,1598808.0,0.0,0.22
SISE,988486958,-3290637.0,-0.0,-0.12
EKGYO,2090648698,-230472598.0,-11.0,-1.53
SOKE,16382776,2442142.0,15.0,1.72
KLKIM,65837193,-496925.0,-1.0,-0.23
MEPET,6752167,-966956.0,-14.000000000000002,-1.27
BJKAS,126131650,1064498.0,1.0,0.04
TUREX,253327401,-23795625.0,-9.0,-14.7
ALGYO,58293142,-1147045.0,-2.0,-0.37
GMSTR,287012475,6314664.0,2.0,5.09
KUYAS,104315113,13643636.0,13.0,2.98
ISGYO,75974325,-22918345.0,-30.0,-5.72
SELEC,107145122,146537.0,0.0,0.09
KRONT,14936260,1906553.0,13.0,2.67
USDTR,77928923,-850303.0,-1.0,-36.75
