hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,290030813,-19529235.0,-7.000000000000001,-5.17
asels,1949734057,87603660.0,4.0,3.85
reedr,334896967,9431390.0,3.0,0.37
miatk,288830509,34985480.0,12.0,4.39
sdttr,71131442,-8246425.0,-12.0,-22.86
ingrm,14532597,-592863.0,-4.0,-16.39
atatp,53755770,6816198.0,13.0,13.31
alctl,105443953,6834429.0,6.0,9.17
karel,38260835,203831.0,1.0,0.05
aztek,44161826,-2702430.0,-6.0,-2.76
httbt,60697880,6271346.0,10.0,4.09
logo,76647888,7037818.0,9.0,10.65
ardyz,43202979,8398558.0,19.0,6.92
indes,28772577,2451071.0,9.0,0.67
mobtl,21283393,1886096.0,9.0,0.36
penta,23387850,-1061782.0,-5.0,-0.68
netas,40837442,-2965804.0,-7.000000000000001,-4.38
arena,216737692,-12364460.0,-6.0,-2.0
escom,38864622,3342912.0,9.0,4.16
papil,77058855,2188945.0,3.0,0.35
forte,137178768,41170720.0,30.0,17.27
link,53669337,6635625.0,12.0,58.81
vbtyz,19389239,-3211936.0,-17.0,-3.96
fonet,36456872,2657591.0,7.000000000000001,1.12
mtrks,19552246,1409029.0,7.000000000000001,1.42
edata,36942457,-4810696.0,-13.0,-0.46
kfein,45371076,592675.0,1.0,1.4
pkart,20898722,483144.0,2.0,1.72
obase,12770702,2905697.0,23.0,7.06
kront,21146697,1111669.0,5.0,1.12
smart,55069586,-723406.0,-1.0,-0.44
dgate,40377817,9701332.0,24.0,13.1
despc,19918953,3854967.0,19.0,9.33
manas,25250930,1332825.0,5.0,0.47
odine,319269905,-5554578.0,-2.0,-2.4
patek,99193186,7803821.0,8.0,7.21
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,75635577,-15601194.0,-21.0,-12.0
ekgyo,3263684735,53857346.0,2.0,0.23
zrgyo,22143692,2946968.0,13.0,2.06
srvgy,59023424,-7807544.0,-13.0,-31.45
rygyo,78357282,12420297.0,16.0,2.52
isgyo,95806119,24331887.0,25.0,4.89
basgz,15626415,2453788.0,16.0,4.65
aksgy,25979931,-1747865.0,-7.000000000000001,-0.47
ozkgy,38377522,6088715.0,16.0,1.84
dggyo,6793410,-1112200.0,-16.0,-6.76
psgyo,148681154,-3218636.0,-2.0,-0.03
yggyo,16850398,-6769774.0,-40.0,-28.01
akmgy,6265606,237441.0,4.0,7.84
asgyo,13635813,743489.0,5.0,0.6
hlgyo,102025386,4298098.0,4.0,0.11
adgyo,33068203,-4334353.0,-13.0,-3.98
akfgy,95672086,19492564.0,20.0,0.39
tsgyo,26758315,-388073.0,-1.0,-0.1
surgy,105712095,-27905427.0,-26.0,-11.22
klgyo,64473979,-805364.0,-1.0,-0.06
algyo,28429804,3228162.0,11.0,2.22
kzbgy,41470134,-58191.0,-0.0,-0.01
sngyo,54841405,-1016347.0,-2.0,-0.05
vkgyo,81135068,12801261.0,16.0,0.32
pekgy,265969875,26077334.0,10.0,0.13
fzlgy,53846057,1639646.0,3.0,0.95
begyo,219476338,37878292.0,17.0,1.56
segyo,31817824,10350712.0,33.0,1.46
pehol,427605288,-687421.0,-0.0,-0.02
nugyo,11621336,-1184922.0,-10.0,-0.75
agyo,7597019,-405473.0,-5.0,-0.37
dzgyo,139443640,13197141.0,9.0,0.69
msgyo,22880080,7993773.0,35.0,5.36
mrgyo,46001213,979456.0,2.0,0.03
krgyo,87937597,2962576.0,3.0,0.34
ozgyo,14120877,-2221818.0,-16.0,-0.83
kgyo,99486043,-19585853.0,-20.0,-8.29
ygyo,75682736,1770855.0,2.0,0.19
avgyo,3732782,-61663.0,-2.0,-0.13
tdgyo,42821310,5756829.0,13.0,2.41
atagy,4817296,-228314.0,-5.0,-0.51
idgyo,7552804,-1161821.0,-15.0,-0.41
mhrgy,31209109,7070240.0,23.0,1.09
avpgy,95261566,9389131.0,10.0,6.19
vrgyo,35022398,644013.0,2.0,0.05
kzgyo,16441745,-2081760.0,-13.0,-2.51
eygyo,28355380,781215.0,3.0,0.2
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3196183032,274815741.0,9.0,10.99
isctr,5371425872,-176827115.0,-3.0,-0.45
halkb,1578849639,-18101536.0,-1.0,-0.22
vakbn,1040265774,80006265.0,8.0,1.96
akbnk,10566642523,-885297934.0,-8.0,-5.29
skbnk,165859847,-2281995.0,-1.0,-0.05
albrk,99019500,10235056.0,10.0,0.68
ykbnk,5456481201,-1163224135.0,-21.0,-6.21
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,429625786,8160526.0,2.0,1.64
arclk,310696410,-24567309.0,-8.0,-10.08
asels,1949734057,87603660.0,4.0,3.85
astor,1226050065,141554556.0,12.0,13.95
bimas,3478272587,386381201.0,11.0,61.43
ekgyo,3263684735,53857346.0,2.0,0.23
enkai,663705665,65474057.0,10.0,4.81
eregl,6504960609,1535939432.0,24.0,5.46
froto,790295462,98884348.0,13.0,115.11
gubrf,815503164,-53991376.0,-7.000000000000001,-18.47
hekts,407090232,45770221.0,11.0,0.4
kchol,5841350061,1360487471.0,23.0,38.16
kozal,1730343378,236323872.0,14.000000000000002,3.19
kozaa,296162044,29318261.0,10.0,7.09
krdmd,3136014587,678205681.0,22.0,6.09
odas,190712249,12788055.0,7.000000000000001,0.37
petkm,864645878,90001799.0,10.0,1.77
pgsus,2815104473,780420287.0,28.000000000000004,65.34
sahol,2748964344,59458351.0,2.0,2.1
sasa,1887780780,344151518.0,18.0,0.64
sise,1336001400,172257094.0,13.0,4.86
tavhl,699803137,95088292.0,14.000000000000002,37.19
tcell,1410123583,-19977592.0,-1.0,-1.5
thyao,11767892000,2581395246.0,22.0,69.5
toaso,966592140,27385123.0,3.0,6.07
tuprs,2443717335,211653447.0,9.0,12.16
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,168646191,20318854.0,12.0,2.19
a1cap,20445694,-418146.0,-2.0,-0.49
adgyo,33068203,-4334353.0,-13.0,-3.98
agrot,129196268,11907342.0,9.0,0.9
ahgaz,73066115,-22076231.0,-30.0,-5.51
akfye,54398429,9019944.0,17.0,2.94
alfas,154080587,49692996.0,32.0,21.34
asgyo,13635813,743489.0,5.0,0.6
atakp,18697281,2159906.0,12.0,4.51
astor,1226050065,141554556.0,12.0,13.95
aztek,44161826,-2702430.0,-6.0,-2.76
barma,18414695,3400470.0,18.0,3.03
begyo,219476338,37878292.0,17.0,1.56
bieny,33235524,-3470012.0,-10.0,-3.27
bigch,124010013,-16652337.0,-13.0,-3.88
binho,102765136,-2449396.0,-2.0,-6.61
bmstl,61041844,-3777995.0,-6.0,-2.03
borls,98952206,22348336.0,23.0,17.95
brkvy,114834196,-4296384.0,-4.0,-2.19
bvsan,122231615,-11362678.0,-9.0,-10.39
bydnr,9471153,1298501.0,14.000000000000002,3.08
cates,35523798,-1084934.0,-3.0,-1.03
conse,39143378,-3269131.0,-8.0,-0.23
cvkmd,463603909,27900777.0,6.0,0.59
cwene,73542611,2117837.0,3.0,0.55
dapgm,71170194,3970407.0,6.0,0.39
dmrgd,26852796,3816837.0,14.000000000000002,1.81
dofer,19037548,1367543.0,7.000000000000001,1.9
ebebk,30349234,4207441.0,14.000000000000002,8.06
ekos,22000603,3290108.0,15.0,3.46
eksun,36520769,3101320.0,8.0,0.53
enery,76697600,-379471.0,-0.0,-1.09
ensri,18375269,532901.0,3.0,0.52
eupwr,179465767,-8723853.0,-5.0,-1.8
euren,40998404,-1703472.0,-4.0,-0.17
eygyo,28355380,781215.0,3.0,0.2
forte,137178768,41170720.0,30.0,17.27
