hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,205060287,-5350713.0,-3.0,-1.92
asels,6149369130,66855994.0,1.0,2.38
reedr,711327467,-155018906.0,-22.0,-2.4
miatk,1065779647,-126277979.0,-12.0,-5.18
sdttr,170058562,-20977695.0,-12.0,-25.56
ingrm,23780394,-1995045.0,-8.0,-37.89
atatp,342894732,-95791443.0,-28.000000000000004,-45.14
alctl,26974134,-2257947.0,-8.0,-10.1
karel,75787308,-1425067.0,-2.0,-0.17
aztek,72333182,-10837585.0,-15.0,-7.97
httbt,40079411,-8509941.0,-21.0,-10.56
logo,49681725,-3961146.0,-8.0,-13.59
ardyz,46420598,-9829699.0,-21.0,-5.5
indes,22598887,-183932.0,-1.0,-0.07
mobtl,31563709,-4184404.0,-13.0,-0.94
penta,33614211,-2092046.0,-6.0,-0.98
netas,383323866,-8476485.0,-2.0,-1.81
arena,35942957,2579187.0,7.000000000000001,2.24
escom,35285344,2701353.0,8.0,0.23
papil,96786077,-23022776.0,-24.0,-3.96
forte,44494927,-13724529.0,-31.0,-21.49
link,664748184,73089197.0,11.0,39.88
vbtyz,33959201,2617181.0,8.0,1.47
fonet,124724796,26038302.0,21.0,3.48
mtrks,34777018,3782809.0,11.0,2.74
edata,31823389,-4106654.0,-13.0,-0.62
kfein,28670074,-5096394.0,-18.0,-1.66
pkart,10943556,-1838407.0,-17.0,-13.9
obase,8662400,-2335984.0,-27.0,-9.98
kront,48402244,-2885096.0,-6.0,-0.99
smart,16947342,1658318.0,10.0,2.46
dgate,14095958,-4398128.0,-31.0,-22.85
despc,12170301,-1236034.0,-10.0,-6.75
manas,72554940,-13781962.0,-19.0,-1.38
odine,44424595,-182121.0,-0.0,-0.63
patek,777226063,-77902245.0,-10.0,-3.23
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,88894818,1167777.0,1.0,1.0
ekgyo,2996112706,6844112.0,0.0,0.05
zrgyo,12259847,-1474738.0,-12.0,-2.73
srvgy,47659939,5976626.0,13.0,0.41
rygyo,285765888,46150895.0,16.0,3.72
isgyo,157935953,-4410140.0,-3.0,-0.54
basgz,52322305,-7691417.0,-15.0,-5.61
aksgy,55770881,2204591.0,4.0,0.32
ozkgy,26306889,-4415620.0,-17.0,-2.22
dggyo,2263483,-743216.0,-33.0,-10.92
psgyo,395285285,-19646851.0,-5.0,-0.16
yggyo,47380177,-2278119.0,-5.0,-6.86
akmgy,8661194,2748715.0,32.0,76.81
asgyo,65067785,-17831932.0,-27.0,-3.51
hlgyo,309706637,-14683631.0,-5.0,-0.18
adgyo,85619259,-1000705.0,-1.0,-0.61
akfgy,73878092,-1255711.0,-2.0,-0.05
tsgyo,26136756,-4820658.0,-18.0,-1.47
surgy,68874725,-7358228.0,-11.0,-4.79
klgyo,56567804,6521806.0,12.0,0.72
algyo,28579206,-5348429.0,-19.0,-3.85
kzbgy,335817023,-45775968.0,-14.000000000000002,-2.22
sngyo,64288889,2869272.0,4.0,0.21
vkgyo,69788834,-1393564.0,-2.0,-0.05
pekgy,2954210252,-231613591.0,-8.0,-0.67
fzlgy,144124816,-15737235.0,-11.0,-1.6
begyo,122706406,-2162580.0,-2.0,-0.1
segyo,17280912,45348.0,0.0,0.01
tehol,1038728660,-20023833.0,-2.0,-0.78
nugyo,36437425,-1306704.0,-4.0,-0.37
agyo,3000305,-203518.0,-7.000000000000001,-0.52
dzgyo,33486923,-8079726.0,-24.0,-1.75
msgyo,13998935,922877.0,7.000000000000001,0.4
mrgyo,155611390,-9610884.0,-6.0,-0.2
krgyo,27391323,-2461592.0,-9.0,-0.29
ozgyo,19707942,692751.0,4.0,0.11
kgyo,47851270,13298.0,0.0,0.0
ygyo,10539015,0.0,0.0,0.0
avgyo,43382216,22779428.0,53.0,7.62
tdgyo,50581508,971189.0,2.0,0.38
atagy,1760945,-377899.0,-21.0,-3.11
idgyo,3806249,65444.0,2.0,0.06
mhrgy,16309719,-1233011.0,-8.0,-0.31
avpgy,68878201,-784043.0,-1.0,-0.69
vrgyo,84677985,-5564598.0,-7.000000000000001,-0.21
kzgyo,20597943,-3590368.0,-17.0,-4.07
eygyo,42546668,5200347.0,12.0,0.55
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,3889428722,-630564910.0,-16.0,-23.13
isctr,6326673988,-1462282677.0,-23.0,-3.26
halkb,6427778896,523208795.0,8.0,2.43
vakbn,1512809077,-98270425.0,-6.0,-1.74
akbnk,5387137367,-776306611.0,-14.000000000000002,-9.12
skbnk,242918873,-37015343.0,-15.0,-1.03
albrk,75321044,-11496283.0,-15.0,-1.27
ykbnk,6282279597,-896449528.0,-14.000000000000002,-4.92
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,342737348,-46127048.0,-13.0,-10.96
arclk,661406103,-55002322.0,-8.0,-10.02
asels,6149369130,66855994.0,1.0,2.38
astor,1433073760,-103292472.0,-7.000000000000001,-7.03
bimas,2099505310,75701044.0,4.0,20.47
ekgyo,2996112706,6844112.0,0.0,0.05
enkai,636502720,-40912596.0,-6.0,-4.58
eregl,5721222859,49388278.0,1.0,0.26
froto,1375993936,19842349.0,1.0,1.44
gubrf,732039419,17575004.0,2.0,6.74
hekts,385024209,-19047503.0,-5.0,-0.18
kchol,4491966847,164691550.0,4.0,6.41
kozal,1116606097,-28288005.0,-3.0,-0.64
kozaa,473591681,63192985.0,13.0,11.68
krdmd,1493468540,-249220966.0,-17.0,-4.67
odas,161200846,-12934807.0,-8.0,-0.44
petkm,1090741423,-44080321.0,-4.0,-0.73
pgsus,4480995995,579529550.0,13.0,28.96
sahol,2054253813,-337416010.0,-16.0,-14.3
sasa,7553005753,-303163584.0,-4.0,-0.14
sise,3237212676,-961493450.0,-30.0,-10.78
tavhl,520119292,-20777545.0,-4.0,-9.51
tcell,2494827489,298352488.0,12.0,12.03
thyao,12561150969,586412387.0,5.0,14.75
toaso,993315084,58684878.0,6.0,15.85
tuprs,2618433876,153365562.0,6.0,11.23
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
tezol,39393537,-2190896.0,-6.0,-0.82
a1cap,937914110,54465676.0,6.0,0.7
adgyo,85619259,-1000705.0,-1.0,-0.61
agrot,85295193,-16168142.0,-19.0,-1.47
ahgaz,77451373,-1521622.0,-2.0,-0.57
akfye,102002566,12713620.0,12.0,2.13
alfas,55327275,-9147715.0,-17.0,-7.49
asgyo,65067785,-17831932.0,-27.0,-3.51
atakp,28004816,-4428447.0,-16.0,-8.15
astor,1433073760,-103292472.0,-7.000000000000001,-7.03
aztek,72333182,-10837585.0,-15.0,-7.97
barma,73628247,3210517.0,4.0,0.95
begyo,122706406,-2162580.0,-2.0,-0.1
bieny,212141400,-15374677.0,-7.000000000000001,-3.05
bigch,105116650,-27177792.0,-26.0,-14.64
binho,321966505,-49577153.0,-15.0,-1.65
bmstl,69880854,-631708.0,-1.0,-0.63
borls,50290579,-9246211.0,-18.0,-4.51
brkvy,65423683,315430.0,0.0,0.39
bvsan,236485995,-26244263.0,-11.0,-14.13
bydnr,4049795,-1133087.0,-28.000000000000004,-6.35
cates,19446036,2242225.0,12.0,3.8
conse,13579744,-1231760.0,-9.0,-0.3
cvkmd,431668697,-11220257.0,-3.0,-0.42
cwene,1120638542,13220756.0,1.0,0.3
dapgm,279494875,-5909065.0,-2.0,-0.3
dmrgd,124348757,-1956243.0,-2.0,-0.4
dofer,89168758,-2119326.0,-2.0,-1.4
ebebk,92609622,-11100456.0,-12.0,-6.58
ekos,105589532,-5554928.0,-5.0,-1.33
eksun,25857908,202816.0,1.0,0.05
enery,230482557,-18999618.0,-8.0,-0.77
ensri,51409141,-9451475.0,-18.0,-17.02
eupwr,183363260,-15683542.0,-9.0,-2.42
euren,388746974,-46585317.0,-12.0,-0.97
eygyo,42546668,5200347.0,12.0,0.55
forte,44494927,-13724529.0,-31.0,-21.49
fzlgy,144124816,-15737235.0,-11.0,-1.6
gipta,107395529,-20711511.0,-19.0,-24.88
goknr,271423907,-11107419.0,-4.0,-0.96
grsel,337427663,-128570770.0,-38.0,-136.11
gznmi,496479237,-147842337.0,-30.0,-74.56
hatsn,74699367,-282007.0,-0.0,-0.18
hktm,54478313,-8944562.0,-16.0,-2.16
httbt,40079411,-8509941.0,-21.0,-10.56
imasm,181457310,12211578.0,7.000000000000001,0.29
inves,153263224,6034390.0,4.0,12.57
izenr,398122170,58853214.0,15.0,1.41
kayse,35585399,2881090.0,8.0,1.52
kcaer,69339198,-20948620.0,-30.0,-4.16
klrho,351274315,-30005767.0,-9.0,-9.75
klser,21320260,641604.0,3.0,0.92
klsyn,20409402,309483.0,2.0,0.1
kmpur,36779469,2466756.0,7.000000000000001,1.22
kopol,66170577,-11680561.0,-18.0,-1.19
krpls,52495764,2768645.0,5.0,0.48
ktlev,350946543,25593231.0,7.000000000000001,0.92
kzgyo,20597943,-3590368.0,-17.0,-4.07
lider,114819656,-6670948.0,-6.0,-19.26
macko,20124980,3364462.0,17.0,6.47
makim,20956509,-4579315.0,-22.0,-3.93
marbl,17868707,-1480697.0,-8.0,-1.17
mekag,75506374,5426279.0,7.000000000000001,0.37
mhrgy,16309719,-1233011.0,-8.0,-0.31
obase,8662400,-2335984.0,-27.0,-9.98
ofsym,40327497,378148.0,1.0,0.61
oncsm,137161832,20854619.0,15.0,18.52
ozsub,9805070,-981415.0,-10.0,-1.87
paseu,245645556,-38933506.0,-16.0,-17.59
pcilt,278437988,-8986618.0,-3.0,-0.73
pltur,39574861,-3146828.0,-8.0,-2.03
pnlsn,18027670,692676.0,4.0,1.61
prdgs,29407723,1443839.0,5.0,0.33
psgyo,395285285,-19646851.0,-5.0,-0.16
reedr,711327467,-155018906.0,-22.0,-2.4
rnpol,6905344,-2116041.0,-31.0,-11.64
rubns,21508568,-793447.0,-4.0,-0.79
sdttr,170058562,-20977695.0,-12.0,-25.56
segyo,17280912,45348.0,0.0,0.01
skymd,67008078,-1963037.0,-3.0,-0.43
smrtg,66477038,-18704927.0,-28.000000000000004,-7.93
snica,170071615,-36934367.0,-22.0,-1.07
soke,18343394,-1745524.0,-10.0,-1.17
suntk,14068236,-758235.0,-5.0,-2.55
suwen,52982794,-15313160.0,-28.999999999999996,-3.13
tabgd,106007699,-2202686.0,-2.0,-4.83
tarkm,177189336,7044.0,0.0,0.02
taten,823566436,4070348.0,0.0,0.43
