tekno,17450929558.2,-1264738150.1,-7.2,18,18
gyo,15630755709.2,-322109712.2,-2.1,22,24
banka,38639619893.6,-1769432311.1,-4.6,3,5
bist30,127047262892.2,4478734980.4,3.5,18,6
harz,38408050818.9,690671610.7,1.8,57,37
bist500,189811185236.3,6172345637.9,3.3,239,154
enerji,9441203814.3,586551432.6,6.2,23,9
bist100,174392163943.9,5755929114.2,3.3,56,34
fonlar,872782537.2,77423989.5,8.9,5,6
fin_sigorta,3363714911.2,242399119.8,7.2,10,1
cim_ins,8947818783.6,-634191335.9,-7.1,13,10
bist_100_disi,51707695093.2,766058082.4,1.5,195,129
