hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
altny,145717824,-28382789.0,-19.0,-14.52
asels,4480416886,-871687427.0,-19.0,-16.12
reedr,216295722,-14481495.0,-7.000000000000001,-0.86
miatk,238057186,-21894068.0,-9.0,-3.35
sdttr,53293989,-11097023.0,-21.0,-40.74
ingrm,14640556,-321815.0,-2.0,-8.84
atatp,44930326,-837462.0,-2.0,-1.98
alctl,73130427,6317094.0,9.0,12.29
karel,31784987,-4060484.0,-13.0,-1.14
aztek,49702518,-4285720.0,-9.0,-3.88
httbt,49638233,538667.0,1.0,0.43
logo,86493255,-5354693.0,-6.0,-7.16
ardyz,62629164,-3354392.0,-5.0,-1.91
indes,35312419,-1913386.0,-5.0,-0.43
mobtl,28237404,1971991.0,7.000000000000001,0.28
penta,30903493,1013005.0,3.0,0.49
netas,41922136,-936977.0,-2.0,-1.36
arena,77984255,-1033913.0,-1.0,-0.46
escom,39973458,4940352.0,12.0,6.02
papil,68438650,7091464.0,10.0,1.3
forte,43105910,908623.0,2.0,1.22
link,57897560,5814120.0,10.0,47.84
vbtyz,25906519,-2654414.0,-10.0,-2.43
fonet,48292505,1392326.0,3.0,0.45
mtrks,17768200,1486970.0,8.0,1.65
edata,28044220,-1864964.0,-7.000000000000001,-0.29
kfein,55638609,589014.0,1.0,1.12
pkart,27413921,1551988.0,6.0,4.16
obase,35474717,7572844.0,21.0,6.81
kront,25152933,942995.0,4.0,0.79
smart,85350412,-9227712.0,-11.0,-3.79
dgate,51331469,2203311.0,4.0,2.45
despc,30027475,5283734.0,18.0,8.67
manas,32558437,8672667.0,27.0,2.43
odine,277403042,-12539726.0,-5.0,-6.23
patek,119275102,-6685907.0,-6.0,-5.1
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
trgyo,85239137,2877701.0,3.0,1.96
ekgyo,2514887923,-237618400.0,-9.0,-1.34
zrgyo,16650149,3027172.0,18.0,2.82
srvgy,102000147,15037353.0,15.0,34.01
rygyo,51957830,6669261.0,13.0,2.06
isgyo,79187658,-2759048.0,-3.0,-0.68
basgz,16523152,1735177.0,11.0,3.13
aksgy,23375867,784016.0,3.0,0.24
ozkgy,38821626,1167115.0,3.0,0.35
dggyo,7506637,-705362.0,-9.0,-3.84
psgyo,82889202,3760015.0,5.0,0.07
yggyo,16028052,-6709926.0,-42.0,-29.18
akmgy,4906509,999605.0,20.0,42.42
asgyo,52123383,5119108.0,10.0,1.13
hlgyo,107762982,3441424.0,3.0,0.09
adgyo,25466523,1645936.0,6.0,1.96
akfgy,82614391,-4003661.0,-5.0,-0.09
tsgyo,31249656,-2913894.0,-9.0,-0.61
surgy,92698917,-17458500.0,-19.0,-7.83
klgyo,38729310,-973080.0,-3.0,-0.12
algyo,49100086,-16187595.0,-33.0,-6.43
kzbgy,32827170,-3307950.0,-10.0,-0.54
sngyo,68898397,-7420767.0,-11.0,-0.32
vkgyo,81435908,-8727290.0,-11.0,-0.21
pekgy,415456218,36496797.0,9.0,0.13
fzlgy,56644014,2915834.0,5.0,1.64
begyo,217053706,35761625.0,16.0,1.54
segyo,37895302,5945733.0,16.0,0.73
pehol,417760595,-48908757.0,-12.0,-1.19
nugyo,13323701,271366.0,2.0,0.15
agyo,8395205,-2635681.0,-31.0,-2.18
dzgyo,81799155,-7305239.0,-9.0,-0.67
msgyo,24316847,6097317.0,25.0,3.95
mrgyo,46245821,7768457.0,17.0,0.24
krgyo,74622066,4421200.0,6.0,0.6
ozgyo,13151767,-2151424.0,-16.0,-0.86
kgyo,86098475,-11697848.0,-14.000000000000002,-5.72
ygyo,80197269,2561763.0,3.0,0.25
avgyo,3851907,156842.0,4.0,0.32
tdgyo,66375607,12005948.0,18.0,3.44
atagy,4648816,-25235.0,-1.0,-0.06
idgyo,7269960,-1171291.0,-16.0,-0.43
mhrgy,19741773,-223864.0,-1.0,-0.05
avpgy,100970975,1560649.0,2.0,0.99
vrgyo,29707716,-190443.0,-1.0,-0.02
kzgyo,15533488,203679.0,1.0,0.26
eygyo,16593170,2365524.0,14.000000000000002,1.05
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
garan,1896112110,-46491610.0,-2.0,-3.14
isctr,3187134027,-31657422.0,-1.0,-0.14
halkb,1464059014,112183534.0,8.0,1.46
vakbn,736800010,58949341.0,8.0,2.06
akbnk,5609280259,56570577.0,1.0,0.64
skbnk,206891706,7222373.0,3.0,0.14
albrk,82855252,-1089323.0,-1.0,-0.09
ykbnk,4005256215,-628301804.0,-16.0,-4.53
hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
alark,690460612,-21995541.0,-3.0,-2.77
arclk,398315052,-7699277.0,-2.0,-2.5
asels,4480416886,-871687427.0,-19.0,-16.12
astor,1361133089,11190119.0,1.0,0.98
bimas,3186853228,-182256506.0,-6.0,-31.72
ekgyo,2514887923,-237618400.0,-9.0,-1.34
enkai,676111096,16460004.0,2.0,1.2
eregl,5176841321,-668248052.0,-13.0,-2.96
froto,1490820894,-7558578.0,-1.0,-4.7
gubrf,796317310,-112550552.0,-14.000000000000002,-38.97
hekts,318338395,-15595329.0,-5.0,-0.17
kchol,5061649939,-468260397.0,-9.0,-15.19
kozal,1879770586,267447695.0,14.000000000000002,3.39
kozaa,428186538,66511312.0,16.0,11.33
krdmd,1251224260,-16430851.0,-1.0,-0.37
odas,219591711,-17501111.0,-8.0,-0.44
petkm,598878376,-49335059.0,-8.0,-1.4
pgsus,1542267963,-246448366.0,-16.0,-37.83
sahol,1231128978,-191218785.0,-16.0,-15.11
sasa,1802325261,-71686069.0,-4.0,-0.14
sise,1081784163,-104578295.0,-10.0,-3.64
tavhl,492167596,-42460152.0,-9.0,-23.7
tcell,1390541531,192245359.0,14.000000000000002,14.74
