Kurum;İlk Gün (Ad.);Son Gün (Ad.);Takas Oran (%)
ACAR MENKUL DEGERLER;1270402;1270402;0.01
A1 Captial;46850563;46850563;0.21
Anadolu;16832924;16832924;0.08
AKBANK T.A.S.;174979;174979;0.0
AK Yat.;6770441449;6770441449;30.65
ALFA MENKUL;22866;22866;0.0
ALB Yat.;4839419;4839419;0.02
ALAN MENKUL;205;205;0.0
Allbatross;1690463;1690463;0.01
ALTERNATIF MENKUL;2723001;2723001;0.01
Alnus Yat.;7727003;7727003;0.03
Ata Yat.;25226109;25226109;0.11
Ahlatcı;9978471;9978471;0.05
B.A.B. MENKUL;93712;93712;0.0
Bulls;10696500;10696500;0.05
BLUPAY MENKUL;142021;142021;0.0
BIZIM MENKUL;94761407;94761407;0.43
BASKENT MENKUL;11;11;0.0
CitiBank;1237180831;1237180831;5.6
Colendi;304055;304055;0.0
Deutsche;283767792;283767792;1.28
Dinamik Yat.;1128745;1128745;0.01
Deniz;276768232;276768232;1.25
Burgan;48466234;48466234;0.22
ELIPTIK YATIRIM;2314566;2314566;0.01
Emeklilik Fonları;27372803;27372803;0.12
QNB;245011756;245011756;1.11
GCM;1138397;1138397;0.01
Gedik;101493661;101493661;0.46
Global;21145388;21145388;0.1
ING;29815089;29815089;0.13
Garanti;1424532617;1424532617;6.45
Halk Yat.;1619148510;1619148510;7.33
HCBC;31629170;31629170;0.14
InvestAZ;2843950;2843950;0.01
ICBC TURKEY BANK;1600;1600;0.0
ICBC;25729886;25729886;0.12
IKON MENKUL DEGERLER;80297;80297;0.0
Integral;8754754;8754754;0.04
Info;102666162;102666162;0.46
İş Yat.;1555651220;1555651220;7.04
KARE YAT.;54638;54638;0.0
Kuveyt Türk;129020241;129020241;0.58
Midas;40346717;40346717;0.18
Bank of America;25874708;25874708;0.12
Marbas;18697379;18697379;0.08
MERKEZ MENKUL;4;4;0.0
Meksa;9317687;9317687;0.04
METRO MENKUL;78682;78682;0.0
NCM;1726405;1726405;0.01
Osmanlı;112267576;112267576;0.51
Oyak;230073583;230073583;1.04
Phillip;41630274;41630274;0.19
Piramit;1680092;1680092;0.01
PAPARA MENKUL;38381;38381;0.0
RAYMOND JAMES;410231;410231;0.0
Şeker;26609862;26609862;0.12
STRATEJI MEN.;309709;309709;0.0
SAYILGAN MEN.;114;114;0.0
Tacirler;44772022;44772022;0.2
TEB;116759655;116759655;0.53
TFG ISTANBUL;5476;5476;0.0
GARANTI BANKASI A.S.;88714;88714;0.0
IS BANKASI A.S.;9167572;9167572;0.04
TURKISH YAT.;19216657;19216657;0.09
TOROS MEN.;38;38;0.0
Tera;6890467;6890467;0.03
SINAI KALKINMA BANKASI A.S.;1143;1143;0.0
Trive;22668121;22668121;0.1
Ünlü;17297843;17297843;0.08
Vakıf;1860015222;1860015222;8.42
VERIM MENKUL DEGERLER;565;565;0.0
Yat. Finans;122994343;122994343;0.56
Yatırım Fonları;169749060;169749060;0.77
YATIRIM ORTAKLIKLARI;288600;288600;0.0
YAPI VE KREDI BANKASI A.S.;80082;80082;0.0
Yapı Kredi;687744822;687744822;3.11
YATIRIMCI TAZMIN MERKEZI;460725;460725;0.0
Ziraat;4154592469;4154592469;18.81
TOPLAM FARK;27676840;27676840;0.13
